date,cash,transaction_cost,market_value,total_value,position_pnl,trading_pnl,daily_pnl,margin
2022-01-04,704797.192,90.0,-39000.0,999910.0,0.0,0.0,-90.0,334112.808
2022-01-05,421508.164,90.0,-106140.0,999160.0,-660.0,0.0,-750.0,683791.836
2022-01-06,160718.824,90.0,-178200.0,993790.0,-5280.0,0.0,-5370.0,1011271.176
2022-01-07,19785.652,45.0,-199980.0,1008985.0,15240.0,0.0,15195.0,1189179.348
2022-01-10,28314.001,0.0,-195900.0,1013065.0,4080.0,0.0,4080.0,1180650.999
2022-01-11,43487.329,0.0,-190980.0,1017985.0,4920.0,0.0,4920.0,1165477.671
2022-01-12,41718.955,0.0,-186780.0,1022185.0,4200.0,0.0,4200.0,1167246.045
2022-01-13,90510.553,0.0,-190920.0,1018045.0,-4140.0,0.0,-4140.0,1118454.447
2022-01-14,150123.949,0.0,-200760.0,1008205.0,-9840.0,0.0,-9840.0,1058841.051
2022-01-17,-39167.048,45.0,-205500.0,1033960.0,25800.0,0.0,25755.0,1278627.048
2022-01-18,-69790.448,0.0,-195300.0,1044160.0,10200.0,0.0,10200.0,1309250.448
2022-01-19,-42497.408,0.0,-195180.0,1044280.0,120.0,0.0,120.0,1281957.408
2022-01-20,-66983.546,0.0,-191520.0,1047940.0,3660.0,0.0,3660.0,1306443.546
2022-01-21,237565.582,0.0,-156420.0,1083040.0,-2520.0,37620.0,35100.0,1001894.418
2022-01-24,110373.778,45.0,-181200.0,1083355.0,360.0,0.0,315.0,1154181.222
2022-01-25,260463.433,0.0,-173280.0,1091275.0,7920.0,0.0,7920.0,1004091.567
2022-01-26,-42289.877,90.0,-208980.0,1104865.0,13680.0,0.0,13590.0,1356134.877
2022-01-27,126463.357,0.0,-217140.0,1096705.0,-8160.0,0.0,-8160.0,1187381.643
2022-01-28,101358.04,45.0,-291780.0,1049680.0,-46980.0,0.0,-47025.0,1240101.96
2022-02-07,-25586.45,0.0,-187260.0,1154200.0,104520.0,0.0,104520.0,1367046.45
2022-02-08,92956.8985,0.0,-191700.0,1149760.0,-4440.0,0.0,-4440.0,1248503.1015
2022-02-09,29176.78,0.0,-153660.0,1187800.0,38040.0,0.0,38040.0,1312283.22
2022-02-10,77387.98,0.0,-156240.0,1185220.0,-2580.0,0.0,-2580.0,1264072.02
2022-02-11,129204.8275,0.0,-179280.0,1162180.0,-23040.0,0.0,-23040.0,1212255.1725
2022-02-14,162818.788,0.0,-225420.0,1116040.0,-46140.0,0.0,-46140.0,1178641.212
2022-02-15,83285.977,0.0,-177960.0,1163500.0,47460.0,0.0,47460.0,1258174.023
2022-02-16,92183.6275,0.0,-157980.0,1183480.0,19980.0,0.0,19980.0,1249276.3725
2022-02-17,97955.86,0.0,-144480.0,1196980.0,13500.0,0.0,13500.0,1243504.14
2022-02-18,1341460.0,0.0,0.0,1341460.0,10560.0,133920.0,144480.0,0.0
2022-02-21,1064061.622,90.0,-41880.0,1341370.0,0.0,0.0,-90.0,319188.378
2022-02-22,810302.308,90.0,-88080.0,1337260.0,-4020.0,0.0,-4110.0,615037.692
2022-02-23,549176.464,90.0,-124200.0,1341430.0,4260.0,0.0,4170.0,916453.536
2022-02-24,302166.16,90.0,-186060.0,1323460.0,-17880.0,0.0,-17970.0,1207353.84
2022-02-25,13661.74,90.0,-206280.0,1344130.0,20760.0,0.0,20670.0,1536748.26
2022-02-28,26596.36,0.0,-205920.0,1344490.0,360.0,0.0,360.0,1523813.64
2022-03-01,47713.81,0.0,-191880.0,1358530.0,14040.0,0.0,14040.0,1502696.19
2022-03-02,26204.35,0.0,-183840.0,1366570.0,8040.0,0.0,8040.0,1524205.65
2022-03-03,38478.28,0.0,-186720.0,1363690.0,-2880.0,0.0,-2880.0,1511931.72
2022-03-04,123556.36,0.0,-204540.0,1345870.0,-17820.0,0.0,-17820.0,1426853.64
2022-03-07,196109.47,45.0,-412740.0,1172125.0,-173700.0,0.0,-173745.0,1388755.53
2022-03-08,56106.7375,0.0,-567540.0,1017325.0,-154800.0,0.0,-154800.0,1528758.2625
2022-03-09,-53489.705,0.0,-639300.0,945565.0,-71760.0,0.0,-71760.0,1638354.705
2022-03-10,-183093.3065,0.0,-513000.0,1071865.0,126300.0,0.0,126300.0,1767958.3065
2022-03-11,-24008.537,0.0,-462360.0,1122505.0,50640.0,0.0,50640.0,1608873.537
2022-03-14,-3258.0335,0.0,-683940.0,900925.0,-221580.0,0.0,-221580.0,1588123.0335
2022-03-15,-162918.2135,0.0,-1078440.0,506425.0,-394500.0,0.0,-394500.0,1747783.2135
2022-03-16,-495347.06,0.0,-733500.0,851365.0,344940.0,0.0,344940.0,2080212.06
2022-03-17,-195715.655,0.0,-580800.0,1004065.0,152700.0,0.0,152700.0,1780580.655
2022-03-18,1399654.132,0.0,-50040.0,1534825.0,36720.0,494040.0,530760.0,185210.868
2022-03-21,1149647.617,90.0,-112920.0,1530655.0,-4080.0,0.0,-4170.0,493927.383
2022-03-22,891390.115,90.0,-160380.0,1537945.0,7380.0,0.0,7290.0,806934.885
2022-03-23,660418.27,90.0,-192180.0,1556515.0,18660.0,0.0,18570.0,1088276.73
2022-03-24,413588.962,90.0,-228720.0,1564825.0,8400.0,0.0,8310.0,1379956.038
2022-03-25,272827.207,90.0,-326220.0,1514035.0,-50700.0,0.0,-50790.0,1567427.793
2022-03-28,24521.722,90.0,-390300.0,1497565.0,-16380.0,0.0,-16470.0,1863343.278
2022-03-29,43203.763,0.0,-397620.0,1490245.0,-7320.0,0.0,-7320.0,1844661.237
2022-03-30,-42152.519,0.0,-305640.0,1582225.0,91980.0,0.0,91980.0,1930017.519
2022-03-31,14568.349,0.0,-294360.0,1593505.0,11280.0,0.0,11280.0,1873296.651
2022-04-01,53081.848,0.0,-273540.0,1614325.0,20820.0,0.0,20820.0,1834783.152
2022-04-06,38232.7,0.0,-252840.0,1635025.0,20700.0,0.0,20700.0,1849632.3
2022-04-07,71667.091,0.0,-256740.0,1631125.0,-3900.0,0.0,-3900.0,1816197.909
2022-04-08,76115.938,0.0,-225000.0,1662865.0,31740.0,0.0,31740.0,1811749.062
2022-04-11,238039.369,0.0,-335340.0,1552525.0,-110340.0,0.0,-110340.0,1649825.631
2022-04-12,-43824.956,45.0,-254100.0,1661380.0,108900.0,0.0,108855.0,1959304.956
2022-04-13,75663.766,0.0,-266400.0,1649080.0,-12300.0,0.0,-12300.0,1839816.234
2022-04-14,27238.9,0.0,-201420.0,1714060.0,64980.0,0.0,64980.0,1888241.1
2022-04-15,1764068.788,0.0,-27960.0,1887520.0,18000.0,155460.0,173460.0,151411.212
2022-04-18,1524062.752,90.0,-83640.0,1891750.0,4320.0,0.0,4230.0,451327.248
2022-04-19,1294930.81,90.0,-139800.0,1895140.0,3480.0,0.0,3390.0,740009.19
2022-04-20,1118347.303,90.0,-209820.0,1888870.0,-6180.0,0.0,-6270.0,980342.697
2022-04-21,961392.8305,90.0,-293340.0,1872400.0,-16380.0,0.0,-16470.0,1204347.1695
2022-04-22,707856.22,90.0,-340620.0,1889290.0,16980.0,0.0,16890.0,1522053.78
2022-04-25,669493.756,90.0,-587160.0,1719640.0,-169560.0,0.0,-169650.0,1637306.244
2022-04-26,348329.548,90.0,-646320.0,1729990.0,10440.0,0.0,10350.0,2027980.452
2022-04-27,127162.633,90.0,-595080.0,1843900.0,114000.0,0.0,113910.0,2311817.367
2022-04-28,82784.6305,45.0,-548820.0,1919215.0,75360.0,0.0,75315.0,2385250.3695
2022-04-29,8312.977,45.0,-560100.0,1934530.0,15360.0,0.0,15315.0,2486317.023
2022-05-05,-36664.31,0.0,-497400.0,1997230.0,62700.0,0.0,62700.0,2531294.31
2022-05-06,84945.145,0.0,-506280.0,1988350.0,-8880.0,0.0,-8880.0,2409684.855
2022-05-09,43858.075,45.0,-543180.0,1980205.0,-8100.0,0.0,-8145.0,2479526.925
2022-05-10,9827.278,0.0,-502020.0,2021365.0,41160.0,0.0,41160.0,2513557.722
2022-05-11,4461.196,0.0,-476340.0,2047045.0,25680.0,0.0,25680.0,2518923.804
2022-05-12,12611.4865,0.0,-467160.0,2056225.0,9180.0,0.0,9180.0,2510773.5135
2022-05-13,5861.92,0.0,-442200.0,2081185.0,24960.0,0.0,24960.0,2517523.08
2022-05-16,42029.863,0.0,-417120.0,2106265.0,25080.0,0.0,25080.0,2481355.137
2022-05-17,47766.568,0.0,-404700.0,2118685.0,12420.0,0.0,12420.0,2475618.432
2022-05-18,35361.151,0.0,-371700.0,2151685.0,33000.0,0.0,33000.0,2488023.849
2022-05-19,57500.9035,0.0,-356280.0,2167105.0,15420.0,0.0,15420.0,2465884.0965
2022-05-20,2361997.048,0.0,-59940.0,2463445.0,-83820.0,380160.0,296340.0,161387.952
2022-05-23,2093605.708,90.0,-100380.0,2475415.0,12060.0,0.0,11970.0,482189.292
2022-05-24,1894587.655,90.0,-142560.0,2485585.0,10260.0,0.0,10170.0,733557.345
2022-05-25,1686779.119,90.0,-190440.0,2488315.0,2820.0,0.0,2730.0,991975.881
2022-05-26,1442560.072,90.0,-226320.0,2498665.0,10440.0,0.0,10350.0,1282424.928
2022-05-27,1210299.202,90.0,-264360.0,2505115.0,6540.0,0.0,6450.0,1559175.798
2022-05-30,1005489.208,90.0,-314100.0,2501425.0,-3600.0,0.0,-3690.0,1810035.792
2022-05-31,834793.345,90.0,-382620.0,2476615.0,-24720.0,0.0,-24810.0,2024441.655
2022-06-01,534243.664,90.0,-440460.0,2491045.0,14520.0,0.0,14430.0,2397261.336
2022-06-02,316815.376,90.0,-498900.0,2502535.0,11580.0,0.0,11490.0,2684619.624
2022-06-06,266463.58,90.0,-632640.0,2436625.0,-65820.0,0.0,-65910.0,2802801.42
2022-06-07,78324.85,45.0,-666540.0,2425900.0,-10680.0,0.0,-10725.0,3014115.15
2022-06-08,160102.57,0.0,-754200.0,2338240.0,-87660.0,0.0,-87660.0,2932337.43
2022-06-09,-63892.406,0.0,-652860.0,2439580.0,101340.0,0.0,101340.0,3156332.406
2022-06-10,205014.142,0.0,-803700.0,2288740.0,-150840.0,0.0,-150840.0,2887425.858
2022-06-13,-94749.488,0.0,-654480.0,2437960.0,149220.0,0.0,149220.0,3187189.488
2022-06-14,169460.062,0.0,-761880.0,2330560.0,-107400.0,0.0,-107400.0,2922979.938
2022-06-15,156001.888,0.0,-905940.0,2186500.0,-144060.0,0.0,-144060.0,2936438.112
2022-06-16,-154797.092,0.0,-820620.0,2271820.0,85320.0,0.0,85320.0,3247237.092
2022-06-17,2139847.066,0.0,-264540.0,2827900.0,-144900.0,700980.0,556080.0,952592.934
2022-06-20,1855530.676,90.0,-323940.0,2829250.0,1440.0,0.0,1350.0,1297659.324
2022-06-21,1600266.886,90.0,-378300.0,2833120.0,3960.0,0.0,3870.0,1611153.114
2022-06-22,1335012.997,90.0,-382260.0,2881510.0,48480.0,0.0,48390.0,1928757.003
2022-06-23,1179673.717,90.0,-479340.0,2838580.0,-42840.0,0.0,-42930.0,2138246.283
2022-06-24,907266.268,90.0,-558720.0,2809510.0,-28980.0,0.0,-29070.0,2460963.732
2022-06-27,667215.976,90.0,-667440.0,2752060.0,-57360.0,0.0,-57450.0,2752284.024
2022-06-28,397755.331,90.0,-797880.0,2671870.0,-80100.0,0.0,-80190.0,3071994.669
2022-06-29,-49131.56,90.0,-752100.0,2765500.0,93720.0,0.0,93630.0,3566731.56
2022-06-30,181442.71,0.0,-838200.0,2679400.0,-86100.0,0.0,-86100.0,3336157.29
2022-07-01,17075.74,0.0,-787560.0,2730040.0,50640.0,0.0,50640.0,3500524.26
2022-07-04,143496.247,0.0,-808980.0,2708620.0,-21420.0,0.0,-21420.0,3374103.753
2022-07-05,96410.179,0.0,-773880.0,2743720.0,35100.0,0.0,35100.0,3421189.821
2022-07-06,-81449.429,45.0,-709320.0,2849095.0,105420.0,0.0,105375.0,3639864.429
2022-07-07,76714.426,0.0,-705420.0,2852995.0,3900.0,0.0,3900.0,3481700.574
2022-07-08,46948.132,0.0,-663360.0,2895055.0,42060.0,0.0,42060.0,3511466.868
2022-07-11,43404.55,0.0,-566340.0,2992075.0,97020.0,0.0,97020.0,3515010.45
2022-07-12,97150.915,45.0,-566100.0,3024490.0,32460.0,0.0,32415.0,3493439.085
2022-07-13,30687.118,45.0,-569940.0,3053305.0,28860.0,0.0,28815.0,3592557.882
2022-07-14,53898.094,0.0,-536160.0,3087085.0,33780.0,0.0,33780.0,3569346.906
2022-07-15,3153301.942,0.0,-107340.0,3515905.0,-600.0,429420.0,428820.0,469943.058
2022-07-18,2880228.685,90.0,-166800.0,3517495.0,1680.0,0.0,1590.0,804066.315
2022-07-19,2648397.922,90.0,-223320.0,3521245.0,3840.0,0.0,3750.0,1096167.078
2022-07-20,2393810.743,90.0,-266040.0,3534355.0,13200.0,0.0,13110.0,1406584.257
2022-07-21,2204866.069,90.0,-324720.0,3530845.0,-3420.0,0.0,-3510.0,1650698.931
2022-07-22,1959860.848,90.0,-362700.0,3544915.0,14160.0,0.0,14070.0,1947754.152
2022-07-25,1779860.275,90.0,-404760.0,3554485.0,9660.0,0.0,9570.0,2179384.725
2022-07-26,1471997.329,90.0,-431640.0,3575935.0,21540.0,0.0,21450.0,2535577.671
2022-07-27,1289953.114,90.0,-478080.0,3577285.0,1440.0,0.0,1350.0,2765411.886
2022-07-28,1055384.599,90.0,-515940.0,3586435.0,9240.0,0.0,9150.0,3046990.401
2022-07-29,984124.723,90.0,-617880.0,3532765.0,-53580.0,0.0,-53670.0,3166520.277
2022-08-01,664579.855,90.0,-644100.0,3578755.0,46080.0,0.0,45990.0,3558275.145
2022-08-02,752149.096,90.0,-887940.0,3415105.0,-163560.0,0.0,-163650.0,3550895.904
2022-08-03,532271.98,90.0,-1009080.0,3369715.0,-45300.0,0.0,-45390.0,3846523.02
2022-08-04,179307.778,90.0,-937440.0,3510205.0,140580.0,0.0,140490.0,4268337.222
2022-08-05,-119659.643,90.0,-832080.0,3680515.0,170400.0,0.0,170310.0,4632254.643
2022-08-08,20506.831,0.0,-824340.0,3688255.0,7740.0,0.0,7740.0,4492088.169
2022-08-09,14730.676,0.0,-799920.0,3712675.0,24420.0,0.0,24420.0,4497864.324
2022-08-10,181894.117,0.0,-874140.0,3638455.0,-74220.0,0.0,-74220.0,4330700.883
2022-08-11,-207724.766,45.0,-728880.0,3811990.0,173580.0,0.0,173535.0,4748594.766
2022-08-12,-98228.456,0.0,-677460.0,3863410.0,51420.0,0.0,51420.0,4639098.456
2022-08-15,-32675.6,0.0,-648300.0,3892570.0,29160.0,0.0,29160.0,4573545.6
2022-08-16,20648.212,0.0,-627060.0,3913810.0,21240.0,0.0,21240.0,4520221.788
2022-08-17,-17606.48,0.0,-555960.0,3984910.0,71100.0,0.0,71100.0,4558476.48
2022-08-18,74573.188,0.0,-576420.0,3964450.0,-20460.0,0.0,-20460.0,4466296.812
2022-08-19,2971941.412,0.0,-259440.0,4281430.0,-10620.0,327600.0,316980.0,1568928.588
2022-08-22,2772100.168,90.0,-295320.0,4289260.0,7920.0,0.0,7830.0,1812479.832
2022-08-23,2517810.955,90.0,-325500.0,4301590.0,12420.0,0.0,12330.0,2109279.045
2022-08-24,2350247.077,90.0,-380640.0,4290160.0,-11340.0,0.0,-11430.0,2320552.923
2022-08-25,2094130.885,90.0,-380460.0,4330090.0,40020.0,0.0,39930.0,2616419.115
2022-08-26,1871452.702,90.0,-395820.0,4351900.0,21900.0,0.0,21810.0,2876267.298
2022-08-29,1683862.105,90.0,-438720.0,4345990.0,-5820.0,0.0,-5910.0,3100847.895
2022-08-30,1492320.415,90.0,-468360.0,4352020.0,6120.0,0.0,6030.0,3328059.585
2022-08-31,1261532.383,90.0,-496560.0,4359310.0,7380.0,0.0,7290.0,3594337.617
2022-09-01,1152841.276,90.0,-585660.0,4331800.0,-27420.0,0.0,-27510.0,3764618.724
2022-09-02,1011857.245,90.0,-679740.0,4300510.0,-31200.0,0.0,-31290.0,3968392.755
2022-09-05,795920.071,90.0,-729420.0,4313020.0,12600.0,0.0,12510.0,4246519.929
2022-09-06,425519.8,90.0,-674460.0,4425910.0,112980.0,0.0,112890.0,4674850.2
2022-09-07,259984.678,90.0,-691740.0,4465180.0,39360.0,0.0,39270.0,4896935.322
2022-09-08,118997.17,90.0,-732000.0,4479670.0,14580.0,0.0,14490.0,5092672.83
2022-09-09,-90769.22,45.0,-626160.0,4611025.0,131400.0,0.0,131355.0,5327954.22
2022-09-13,-13416.38,0.0,-577080.0,4660105.0,49080.0,0.0,49080.0,5250601.38
2022-09-14,54513.7,0.0,-575220.0,4661965.0,1860.0,0.0,1860.0,5182671.3
2022-09-15,257469.34,0.0,-670260.0,4566925.0,-95040.0,0.0,-95040.0,4979715.66
2022-09-16,3455791.948,45.0,-361320.0,4900000.0,-302640.0,635760.0,333075.0,1805528.052
2022-09-19,3263622.082,90.0,-396600.0,4912810.0,12900.0,0.0,12810.0,2045787.918
2022-09-20,3034791.646,90.0,-420120.0,4934080.0,21360.0,0.0,21270.0,2319408.354
2022-09-21,2909804.38,90.0,-513900.0,4887730.0,-46260.0,0.0,-46350.0,2491825.62
2022-09-22,2750942.254,90.0,-590580.0,4859320.0,-28320.0,0.0,-28410.0,2698957.746
2022-09-23,2547797.68,90.0,-620820.0,4873870.0,14640.0,0.0,14550.0,2946892.32
2022-09-26,2390096.344,90.0,-720420.0,4821220.0,-52560.0,0.0,-52650.0,3151543.656
2022-09-27,2002683.2275,90.0,-657480.0,4927150.0,106020.0,0.0,105930.0,3581946.7725
2022-09-28,1992454.285,90.0,-767580.0,4859020.0,-68040.0,0.0,-68130.0,3634145.715
2022-09-29,1761125.587,90.0,-792840.0,4874530.0,15600.0,0.0,15510.0,3906244.413
2022-09-30,1628933.479,90.0,-860520.0,4845580.0,-28860.0,0.0,-28950.0,4077166.521
2022-10-10,1625680.021,90.0,-1163520.0,4602250.0,-243240.0,0.0,-243330.0,4140089.979
2022-10-11,1253984.785,90.0,-1168380.0,4653880.0,51720.0,0.0,51630.0,4568275.215
2022-10-12,925833.8635,90.0,-1020660.0,4856230.0,202440.0,0.0,202350.0,4951056.1365
2022-10-13,879228.676,90.0,-1163580.0,4768840.0,-87300.0,0.0,-87390.0,5053191.324
2022-10-14,452724.7195,90.0,-910140.0,5073850.0,305100.0,0.0,305010.0,5531265.2805
2022-10-17,407124.781,90.0,-922980.0,5110600.0,36840.0,0.0,36750.0,5626455.219
2022-10-18,237777.6565,90.0,-951300.0,5128930.0,18420.0,0.0,18330.0,5842452.3435
2022-10-19,240437.3035,90.0,-1178820.0,4948000.0,-180840.0,0.0,-180930.0,5886382.6965
2022-10-20,115218.07,45.0,-1296060.0,4855255.0,-92700.0,0.0,-92745.0,6036096.93
2022-10-21,3956687.191,0.0,-439440.0,5711875.0,-57180.0,913800.0,856620.0,2194627.809
2022-10-24,3981722.2975,90.0,-644460.0,5565385.0,-146400.0,0.0,-146490.0,2228122.7025
2022-10-25,3684501.5395,90.0,-667140.0,5596255.0,30960.0,0.0,30870.0,2578893.4605
2022-10-26,3438224.611,90.0,-630360.0,5679805.0,83640.0,0.0,83550.0,2871940.389
2022-10-27,3349144.1965,90.0,-674880.0,5678995.0,-720.0,0.0,-810.0,3004730.8035
2022-10-28,3351261.988,90.0,-918300.0,5483245.0,-195660.0,0.0,-195750.0,3050283.012
2022-10-31,3064713.7375,90.0,-1083720.0,5366935.0,-116220.0,0.0,-116310.0,3385941.2625
2022-11-01,2559374.851,90.0,-810300.0,5707045.0,340200.0,0.0,340110.0,3957970.149
2022-11-02,2519638.942,90.0,-796740.0,5783335.0,76380.0,0.0,76290.0,4060436.058
2022-11-03,2379052.0945,90.0,-872940.0,5770105.0,-13140.0,0.0,-13230.0,4263992.9055
2022-11-04,2190087.85,90.0,-973680.0,5735695.0,-34320.0,0.0,-34410.0,4519287.15
2022-11-07,1828716.844,90.0,-1026720.0,5747305.0,11700.0,0.0,11610.0,4945308.156
2022-11-08,1567063.42,90.0,-1007040.0,5828635.0,81420.0,0.0,81330.0,5268611.58
2022-11-09,1479794.254,90.0,-1035840.0,5862325.0,33780.0,0.0,33690.0,5418370.746
2022-11-10,1375424.11,90.0,-1072560.0,5886235.0,24000.0,0.0,23910.0,5583370.89
2022-11-11,1269376.795,90.0,-1161480.0,5856025.0,-30120.0,0.0,-30210.0,5748128.205
2022-11-14,850777.213,90.0,-1203300.0,5873035.0,17100.0,0.0,17010.0,6225557.787
2022-11-15,986653.201,90.0,-1520640.0,5614345.0,-258600.0,0.0,-258690.0,6148331.799
